question,answer
"Name two popular C++ compilers.","GCC and Clang."
"Which JavaScript engines are widely used?","V8 (Chrome) and SpiderMonkey (Firefox)."
"How do you install packages in Python?","With the package manager pip."
"What tool is common for C++ build automation?","CMake."
"What package managers exist for JavaScript?","npm and Yarn."
"What does PEP8 define in Python?","The style guidelines for writing Python code."
"Which document outlines best practices in modern C++?","The C++ Core Guidelines."
"How can JavaScript code quality be enforced?","Using linters like ESLint."
"What is the advantage of Python’s list comprehensions?","They provide a concise way to create lists."
"When were lambda functions introduced in C++?","With C++11."
"What is an arrow function in JavaScript?","A concise syntax for writing functions."
"How do Python generators work?","They use yield to produce items one at a time, saving memory."
"What are range-based for loops in C++?","Loops that iterate directly over elements of a container."
"How does JavaScript’s for...of loop function?","It iterates over iterable objects like arrays."
"What is the purpose of the with statement in Python?","It ensures proper resource management (e.g., closing files)."
"Which concept in C++ helps manage resources automatically?","RAII (Resource Acquisition Is Initialization)."
"How are errors handled in JavaScript?","With try...catch blocks."
"What programming paradigms does Python support?","Procedural, object-oriented, and functional programming."
"What type of typing does C++ use?","Static typing."
"How is JavaScript’s typing characterized?","Loosely (dynamically) typed."
"What is a Python set used for?","Storing unique elements."
"Does C++ offer a similar container to Python’s set?","Yes, std::set or std::unordered_set."
"What is JavaScript’s Map?","A collection that holds key–value pairs with keys of any type."
"How is a Python dictionary similar to a JavaScript object?","Both are key–value stores."
"Which C++ class is commonly used for string handling?","std::string."
"Are Python strings mutable or immutable?","Immutable."
"How are strings handled in JavaScript?","They are immutable."
"What advantage does Python’s enumerate() offer?","It provides both index and value during iteration."
"What role do iterators play in C++?","They allow traversal of container elements."
"How does JavaScript’s forEach() function work?","It executes a provided function once for each array element."
"What is the purpose of the assert statement in Python?","For debugging by verifying conditions during execution."
"How is assertion used in C++?","Using assert() from <cassert> to validate assumptions."
"How can you perform assertions in JavaScript?","With console.assert() for debugging."
"Which Python module provides robust logging capabilities?","The logging module."
"How is logging typically handled in C++?","Through libraries like spdlog or Boost.Log."
"What function is commonly used in JavaScript for debugging output?","console.log()."
"What challenge does Python face with multithreading?","The Global Interpreter Lock (GIL) can limit true parallelism."
"How does C++ support multithreading?","Through std::thread and other concurrency libraries."
"How does JavaScript handle concurrency?","Via an event loop and asynchronous callbacks."
"What module in Python enables asynchronous programming?","The asyncio module."
"Which C++ standard introduced multithreading support?","C++11."
"How can JavaScript achieve parallel processing?","Using web workers to run scripts in background threads."
"What is a stack?","A LIFO (Last In, First Out) data structure."
"What is a queue?","A FIFO (First In, First Out) data structure."
"What defines a linked list?","A sequence of nodes, each containing data and a pointer to the next node."
"How does a doubly linked list differ from a singly linked list?","It has pointers to both the previous and next nodes."
"What is a binary tree?","A hierarchical data structure where each node has up to two children."
"What is a binary search tree (BST)?","A binary tree where for each node, left children are less and right children are greater."
"What is a heap?","A specialized tree that satisfies the heap property for efficient retrieval of the smallest or largest element."
"What is a priority queue?","A queue that retrieves elements based on priority rather than insertion order."
"What is a graph?","A collection of vertices connected by edges."
"What characterizes a directed graph?","Its edges have a direction from one vertex to another."
"What is an undirected graph?","A graph where edges have no direction; relationships are bidirectional."
"What is Depth-First Search (DFS)?","An algorithm that explores as far as possible along a branch before backtracking."
"What is Breadth-First Search (BFS)?","An algorithm that explores nodes level by level."
"What is dynamic programming?","A method to solve complex problems by breaking them into simpler subproblems and storing the results."
"What is memoization?","A technique to cache and reuse results of expensive function calls."
"What is recursion?","A function calling itself to solve smaller parts of a problem."
"What is a hash table?","A data structure that maps keys to values using a hash function."
"What is a collision in a hash table?","When different keys produce the same hash value."
"What is a balanced tree?","A tree where the heights of subtrees are kept approximately equal."
"What is an AVL tree?","A self-balancing binary search tree ensuring height differences are minimal."
"What is a Red-Black tree?","A balanced BST that uses node colors to ensure balance."
"What is a segment tree?","A tree structure that enables efficient range queries on an array."
"What is a Fenwick tree?","Also known as a Binary Indexed Tree, it efficiently computes prefix sums."
"What does sorting mean in algorithms?","Arranging data in a specific order (ascending or descending)."
"What is merge sort?","A divide-and-conquer algorithm that divides the array and merges sorted subarrays."
"What is quick sort?","A sorting algorithm that partitions data around a pivot element."
"What is bubble sort?","A simple, though inefficient, sorting algorithm that repeatedly swaps adjacent elements."
"What is insertion sort?","A sorting method that builds a sorted array one element at a time."
"What is selection sort?","A sorting algorithm that repeatedly selects the minimum element from the unsorted portion."
"What does time complexity measure?","How the runtime of an algorithm scales with input size."
"What does space complexity refer to?","The amount of memory an algorithm uses relative to the input size."
"What is Big-O notation?","A mathematical notation to describe the upper limit of an algorithm’s running time."
"What characterizes constant time complexity?","Operations that execute in O(1) time, regardless of input size."
"What is logarithmic time complexity?","O(log n) time, where operations increase slowly as input grows."
"What is linear time complexity?","O(n) time, where operations scale directly with input size."
"What is quadratic time complexity?","O(n²) time, common in simple sorting algorithms like bubble sort."
"What is graph traversal?","Systematically visiting all nodes in a graph."
"What is a cycle in a graph?","A path that starts and ends at the same vertex without repetition."
"What is a topological sort?","An ordering of vertices in a directed acyclic graph (DAG)."
"What is a greedy algorithm?","An algorithm that makes the optimal local choice at each step."
"What is backtracking?","A recursive algorithmic technique for solving problems by trying possible solutions and abandoning them if they do not work."
"What is the knapsack problem?","An optimization problem of selecting items to maximize value without exceeding weight capacity."
"What is a subarray?","A contiguous sequence of elements within an array."
"What is the two-pointer technique?","A method using two indices to solve problems efficiently on arrays or strings."
"What is the sliding window technique?","A method to process subarrays or substrings by maintaining a window over the data."
"What is a recursion tree?","A diagram that represents the recursive calls made by an algorithm."
"What does the master theorem help determine?","The time complexity of divide-and-conquer recurrences."
"What is branch and bound?","A technique to solve optimization problems by systematically enumerating candidate solutions."
"What is a Trie?","A tree-like data structure used for efficient retrieval of strings."
"What is an ordered dictionary?","A dictionary that preserves the insertion order of keys."
"What is machine learning?","A field of AI that develops algorithms to learn patterns from data."
"What is deep learning?","A subset of machine learning using multi-layer neural networks."
"What is supervised learning?","Training models on labeled data."
"What is unsupervised learning?","Training models on data without explicit labels."
"What is reinforcement learning?","A learning paradigm where agents learn by interacting with an environment and receiving rewards."
"What is a neural network?","A computational model composed of interconnected layers of neurons."
"What is a perceptron?","The simplest form of a neural network unit for binary classification."
"What is an activation function?","A function that adds non-linearity to a neural network model."
"What is the sigmoid function?","An activation function mapping inputs to a (0,1) range."
"What is the ReLU function?","An activation function that outputs zero for negative inputs and the input itself for positive values."
"What is a loss function?","A function that measures the error between predicted and actual values."
"What is Mean Squared Error (MSE)?","A loss function that averages the squared differences between predictions and targets."
"What is cross-entropy loss?","A loss function used primarily for classification tasks."
"What is gradient descent?","An iterative optimization algorithm to minimize a loss function."
"What distinguishes stochastic gradient descent (SGD) from batch gradient descent?","SGD updates parameters using one or a few examples at a time rather than the entire dataset."
"What is backpropagation?","The process of propagating error gradients backward through a neural network to update weights."
"What is overfitting?","When a model learns the training data too closely and fails to generalize to new data."
"What is underfitting?","When a model is too simple and cannot capture the underlying data patterns."
"What is regularization in machine learning?","Techniques (e.g., L1, L2) used to reduce overfitting by penalizing large weights."
"What is dropout?","A regularization technique that randomly disables neurons during training."
"What is batch normalization?","A method to normalize layer inputs to improve training speed and stability."
"What is an epoch in training?","One complete pass through the entire training dataset."
"What is a mini-batch?","A small subset of the dataset used for one update iteration in training."
"What is a convolutional neural network (CNN)?","A deep learning architecture specialized for processing grid-like data, such as images."
"What is a recurrent neural network (RNN)?","A neural network designed to handle sequential data."
"What is an LSTM network?","A type of RNN that can capture long-term dependencies using gates."
"What is a transformer model?","A model that uses self-attention mechanisms for handling sequential data without recurrence."
"What does the attention mechanism do?","It allows the model to focus on relevant parts of the input sequence."
"What is transfer learning?","The practice of reusing a pre-trained model for a related task."
"What is a pre-trained model?","A model previously trained on a large dataset that can be fine-tuned for new tasks."
"What is fine-tuning?","Adjusting a pre-trained model’s parameters on a new, specific dataset."
"What is a feature in data science?","An individual measurable property or characteristic of a phenomenon."
"What is feature engineering?","The process of creating or modifying features to improve model performance."
"What is dimensionality reduction?","Techniques for reducing the number of input variables while preserving essential information."
"What is Principal Component Analysis (PCA)?","A statistical method used to reduce data dimensions by transforming features into principal components."
"What is a confusion matrix?","A table that summarizes a classification model’s performance."
"What does precision measure?","The ratio of true positive predictions to all positive predictions made."
"What does recall measure?","The ratio of true positive predictions to all actual positives."
"What is the F1-score?","The harmonic mean of precision and recall."
"What is cross-validation?","A technique for assessing how a model generalizes to independent data by partitioning the dataset."
"What is a train-test split?","Dividing data into training and testing sets to evaluate model performance."
"What is hyperparameter tuning?","The process of optimizing model parameters that are set before training."
"What is grid search?","A systematic method of hyperparameter tuning using a predefined set of parameters."
"What is random search?","A hyperparameter tuning method that randomly samples parameter combinations."
"What is an ensemble method?","Combining multiple models to achieve better performance than individual models."
"What is bagging?","An ensemble technique that trains multiple models on different subsets of data and averages their predictions."
"What is boosting?","An ensemble method that sequentially trains models to correct the errors of previous ones."
"What is XGBoost?","An efficient and scalable boosting algorithm widely used for structured data."
"What is data visualization?","The practice of representing data graphically to uncover patterns and insights."
"What is Exploratory Data Analysis (EDA)?","An approach to analyze datasets to summarize their main characteristics, often with visual methods."
